Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2tudvzsrR56uom6smgOcSf,"Like That","WE DON'T TRUST YOU","Future;Metro Boomin;Kendrick Lamar",2024-03-22,267706,82,true,226w3phs7mjprjolyqjkylp3q,2025-06-16T20:25:45Z,"rap,hip hop,west coast hip hop","Wilburn Holding Co./Boominati/Epic/Republic",0.814,0.676,11,-4.67,0,0.231,0.00709,0.0000128,0.119,0.312,162.012,4
spotify:track:5KUNwkaNf8l5A9sXZhiCgI,"Rapp Snitch Knishes","MM..FOOD","MF DOOM;Mr. Fantastik",2004-11-16,172893,74,true,226w3phs7mjprjolyqjkylp3q,2025-06-16T20:25:46Z,"experimental hip hop,east coast hip hop,jazz rap,alternative hip hop","Rhymesayers",0.728,0.832,7,-6.827,1,0.267,0.327,0,0.504,0.825,95.051,4
spotify:track:7Ks4VCY1wFebnOdJrM13t6,"Wesley's Theory","To Pimp A Butterfly","Kendrick Lamar;George Clinton;Thundercat",2015-03-16,287360,68,true,226w3phs7mjprjolyqjkylp3q,2025-06-16T20:26:00Z,"hip hop,west coast hip hop,funk","Aftermath",0.509,0.787,7,-6.754,1,0.265,0.359,0.0000276,0.26,0.507,114.449,4
spotify:track:6OkDb9fyi22Pr6QJIrUNdJ,"Rhymes Like Dimes","Operation: Doomsday (Complete)","MF DOOM;DJ Cucumber Slice",1999-10-19,258613,66,true,226w3phs7mjprjolyqjkylp3q,2025-06-16T20:26:43Z,"experimental hip hop,east coast hip hop,jazz rap,alternative hip hop","Metalface Records",0.646,0.752,0,-5.652,1,0.268,0.664,0,0.17,0.761,99.948,4
spotify:track:5467KZaTToEB680WvOd9w5,"Ocean Prime (feat. Boldy James)","Yacht Rock 2","The Alchemist;Boldy James",2019-08-30,99906,60,true,226w3phs7mjprjolyqjkylp3q,2025-06-16T20:27:04Z,"alternative hip hop,jazz rap,experimental hip hop,boom bap","ALC",0.583,0.604,2,-8.437,1,0.456,0.735,0,0.724,0.691,49.305,5
spotify:track:6ajiOUVtxRjYcf1EvBDoV4,"Psilocybae (Millennial Love) (feat. 21 Savage, Ink & Kadhja Bonet)","Atavista","Childish Gambino;21 Savage;Ink;Kadhja Bonet",2024-05-13,392590,51,true,226w3phs7mjprjolyqjkylp3q,2025-06-16T20:27:14Z,"","Wolf+Rothstein/RCA Records",0.612,0.727,5,-5.396,1,0.0673,0.214,0.00000116,0.456,0.501,164.023,4
spotify:track:6fkL9CjWmjeV6vfDxTp9OZ,"Walk On By","Drunk","Thundercat;Kendrick Lamar",2017-02-24,199136,64,true,226w3phs7mjprjolyqjkylp3q,2025-06-16T20:27:49Z,"hip hop,west coast hip hop","Brainfeeder",0.825,0.302,8,-11.651,1,0.282,0.204,0,0.0762,0.747,94.956,4
spotify:track:09imUl1oyaB2R86qBgEhCN,"Talk My Shit (feat. Amaarae & Flo Milli)","Bando Stone and The New World","Childish Gambino;Amaarae;Flo Milli",2024-07-19,225906,49,true,226w3phs7mjprjolyqjkylp3q,2025-06-16T20:27:50Z,"alté,afrobeats,afro r&b","Wolf+Rothstein/RCA Records",0.778,0.674,10,-7.66,1,0.0967,0.0121,0.0000633,0.688,0.411,141.079,4
spotify:track:5fbHRCsGpFIOLRtlhCRFDR,"LEMONHEAD (feat. 42 Dugg)","CALL ME IF YOU GET LOST","Tyler, The Creator;42 Dugg",2021-06-25,130979,59,true,226w3phs7mjprjolyqjkylp3q,2025-06-16T20:28:01Z,"","Columbia",0.62,0.586,1,-6.612,1,0.212,0.155,0,0.535,0.487,137.131,4
spotify:track:4ydmav4vl7hebadtfZtMrg,"SIR BAUDELAIRE (feat. DJ Drama)","CALL ME IF YOU GET LOST","Tyler, The Creator;DJ Drama",2021-06-25,88624,55,true,226w3phs7mjprjolyqjkylp3q,2025-06-16T20:28:13Z,"southern hip hop","Columbia",0.467,0.635,7,-6.115,1,0.154,0.314,0.00000416,0.844,0.51,127.596,3
